id,area
E02000853,0
E02006854,0
E02000898,0
E02000478,0
E02000078,0
E02000405,0
E02005065,0
E02000179,0
E02000857,0
E02006319,0
E02000969,0
E02000441,0
E02000528,0
E02000518,0
E02000256,0
E02000172,0
E02000536,0
E02000064,0
E02000982,0
E02003689,0
E02000675,0
E02000588,0
E02004938,0
E02004861,0
E02000791,0
E02000244,0
E02000077,0
E02000964,0
E02000620,0
E02000968,0
E02006376,0
E02006410,0
E02000466,0
E02000776,0
E02000392,0
E02000360,0
E02000221,0
E02000648,0
E02000268,0
E02000220,0
E02000730,0
E02000041,0
E02000294,0
E02004936,0
E02004903,0
E02003315,0
E02004538,0
E02005033,0
E02000443,0
E02000598,0
E02000171,0
E02000073,0
E02000390,0
E02000351,0
E02000091,0
E02000708,0
E02006853,0
E02000802,0
E02006324,0
E02000537,0
E02000229,0
E02000957,0
E02006367,0
E02000050,0
E02000052,0
E02000938,0
E02000863,0
E02000106,0
E02000321,0
E02000411,0
E02006337,0
E02000033,0
E02000184,0
E02000628,0
E02000627,0
E02000309,0
E02000826,0
E02006931,0
E02000891,0
E02006318,0
E02000269,0
E02000012,0
E02000199,0
E02006322,0
E02000504,0
E02000844,0
E02004928,0
E02000657,0
E02000260,0
E02000912,0
E02000583,0
E02000151,0
E02000305,0
E02000157,0
E02000201,0
E02000883,0
E02000454,0
E02000825,0
E02000603,0
E02004466,0
E02000841,0
E02004900,0
E02006366,0
E02000264,0
E02006409,0
E02000591,0
E02000693,0
E02000025,0
E02000884,0
E02005088,0
E02000232,0
E02000252,0
E02000753,0
E02000066,0
E02000661,0
E02000902,0
E02000673,0
E02004975,0
E02000692,0
E02004956,0
E02006407,0
E02000035,0
E02000315,0
E02000615,0
E02000908,0
E02000704,0
E02000621,0
E02000417,0
E02000070,0
E02000383,0
E02000569,0
E02000138,0
E02006836,0
E02005098,0
E02000235,0
E02000710,0
E02000881,0
E02004905,0
E02000398,0
E02000940,0
E02000254,0
E02000072,0
E02000460,0
E02000492,0
E02000393,0
E02000976,0
E02000051,0
E02006782,0
E02003304,0
E02000062,0
E02000328,0
E02003683,0
E02000135,0
E02000224,0
E02000672,0
E02000389,0
E02004471,0
E02000058,0
E02004906,0
E02000189,0
E02005095,0
E02004964,0
E02004960,0
E02004865,0
E02000092,0
E02000920,0
E02004961,0
E02000169,0
E02000752,0
E02000272,0
E02004934,0
E02000813,0
E02006346,0
E02000440,0
